Bedrooms,Bathrooms,SquareFootageHouse,Location,Age,PoolQuality,HasPhotovoltaics,HeatingType,HasFiberglass,IsFurnished,DateSinceForSale,HouseColor,PreviousOwnerName,HasFireplace,KitchensQuality,BathroomsQuality,BedroomsQuality,LivingRoomsQuality,SquareFootageGarden,PreviousOwnerRating,HeatingCosts,WindowModelNames,Price
2.0,1.0,92.0,Rural,43.0,Poor,,Oil,False,True,2020-01-12,Yellow,Lukas,False,Good,Good,Poor,Excellent,10.0,2.94,,Steel 7YJ3B9,383.37165
1.0,1.0,27.0,Urban,48.0,None,False,Electricity,False,True,2022-03-05,White,Natalie,False,Poor,Good,Good,Good,7.0,2.41,,Wood AYO4T4P Window,106.68637
5.0,2.0,137.0,Urban,61.0,None,True,Electric,False,True,2023-01-28,Gray,Florian,False,Excellent,Good,Poor,Good,7.0,1.06,,Steel 9EX2,285.73364
2.0,,100.0,Suburbann,61.0,None,False,Oil Heating,True,False,2022-08-17,White,Denis,False,Good,Good,Excellent,Excellent,7.0,3.84,158.4,Steel 2LGZ3I,155.39077
2.0,,103.0,Suburbann,54.0,None,True,Oil Heating,True,False,2021-10-17,White,Roman,False,Poor,Good,Excellent,Poor,7.0,2.52,,Steel IAM1AH9,151.43198
2.0,1.0,117.0,Rural,49.0,,,Gas,False,True,2020-07-23,Yellow,Sandra,False,Excellent,Good,Poor,Good,16.0,2.53,119.0,Steel GF8,409.10206
,1.0,50.0,Urban,32.0,None,False,Oil,False,True,2021-12-19,White,Laura,False,Excellent,Good,Good,Good,7.0,3.51,78.4,Steel GFBXWEJ Window,218.92195
1.0,1.0,52.0,Suburbann,63.0,Good,False,Oil Heating,False,False,2021-12-11,Gray,Maria,False,Good,Excellent,Good,Excellent,16.0,1.94,83.2,Aluminum HL8Z0GC Window,72.61014
,1.0,30.0,Rural,,None,False,Gas,False,False,2023-07-22,Yellow,Natalie,False,Excellent,Good,Good,Good,7.0,1.35,,MAH8Q9 Steel WIPA,203.20564
4.0,,147.0,Rural,60.0,Poor,False,Electricity,True,False,2023-10-27,White,Denis,False,Excellent,Excellent,Good,Excellent,10.0,1.4,,Aluminum 2EAKT5 Window,284.86164
1.0,1.0,53.0,Rural,53.0,None,,Oil Heating,False,False,2021-05-23,Gray,Lukas,False,Good,Excellent,Good,Good,7.0,2.49,83.2,Wood FI8E5 Window,191.21549
1.0,1.0,50.0,Urban,,None,False,Electricity,False,False,2020-01-16,Yellow,Florian,False,Excellent,Excellent,Poor,Excellent,7.0,1.42,,Aluminum EZ53MF0 Window,66.83519
,3.0,-801.0,Urban,58.0,,,Electricity,False,True,2022-07-31,White,Lukas,False,Excellent,Good,Good,Good,7.0,1.73,,5U2UU4 Steel VF934C,278.68603
,1.0,48.0,Urban,,None,,Electric,False,True,2022-09-07,Gray,Stefan,False,Excellent,Excellent,Good,Poor,7.0,2.33,28.8,GOEPEA Steel QYO7J,173.84299
1.0,,54.0,Rural,45.0,None,False,Gas,False,True,2022-08-26,Yellow,Theresa,False,Good,Good,Good,Good,7.0,1.34,54.0,Steel HA36 Window,282.59604
5.0,5.0,147.0,Rural,38.0,Excellent,False,Gas,True,True,2020-06-10,Yellow,Florian,False,Good,Good,Good,Good,26.0,2.11,148.0,Aluminum IQZJ,413.6847
,1.0,148.0,Suburbann,52.0,None,False,Gas,False,True,2020-11-05,Green,Laura,False,Excellent,Good,Good,Excellent,7.0,3.06,,EFM4 Wood N7C8WKK Window,158.97521
2.0,2.0,73.0,Suburbann,23.0,,False,Gas,False,False,2020-04-05,White,Lukas,False,Excellent,Poor,Good,Excellent,26.0,3.8,,Aluminum YUD4VYB Window,92.34604
1.0,1.0,61.0,Urban,-24.0,,,Oil Heating,False,False,2020-11-05,White,Johanna,False,Good,Good,Good,Good,16.0,2.0,,Steel 9VGT0S,210.00123
,,38.0,Urban,56.0,None,False,Oil Heating,True,True,2022-10-30,Green,Martin,False,Excellent,Excellent,Excellent,Poor,7.0,3.32,,Wood EQDJ,163.45906
2.0,1.0,100.0,Suburbann,20.0,None,False,Oil Heating,True,True,2020-04-18,Gray,Theresa,False,Poor,Poor,Excellent,Poor,7.0,1.57,158.4,A8TVQ8 Steel Z3JIXP0 Window,169.8025
1.0,,124.0,Urban,,Good,,Oil,False,True,2023-08-05,Green,Daniel,False,Good,Excellent,Excellent,Excellent,16.0,2.62,200.0,MN4 Aluminum BY2DAT Window,271.2462
2.0,2.0,61.0,Suburban,35.0,None,False,Gas,True,True,2022-01-21,Yellow,Daniel,False,Poor,Good,Poor,Good,7.0,3.71,,Aluminum HQSWP Window,70.43537
1.0,1.0,52.0,Suburban,52.0,None,,Oil,True,True,2023-02-02,Green,Maria,False,Poor,Poor,Excellent,Good,7.0,3.39,81.6,Steel 1S7AX Window,132.93184
,,141.0,Suburban,34.0,None,False,Electric,False,False,2020-12-07,Gray,Laura,False,Good,Poor,Poor,Good,7.0,2.09,84.0,Aluminum D8JM Window,88.08741
,1.0,23.0,Rural,,Excellent,False,Oil,True,True,2021-10-12,White,Natalie,False,Poor,Good,Excellent,Good,26.0,1.49,,7BT Aluminum TLOM0 Window,171.3843
,1.0,85.0,Urban,39.0,None,False,Electricity,False,True,2023-06-03,Green,Andreas,False,Good,Good,Good,Excellent,7.0,2.83,,ZS87A98 Aluminum PKIDP13,129.09071
1.0,,77.0,Rural,39.0,Poor,False,Oil Heating,False,True,2021-01-28,White,,False,Good,Good,Excellent,Poor,10.0,2.63,,RGP4BM Steel Y919LB Window,357.87098
1.0,,56.0,Urban,44.0,Poor,False,Electricity,False,True,2021-06-24,Gray,Laura,False,Excellent,Good,Excellent,Good,10.0,1.57,,Steel MQLJ,205.56447
1.0,3.0,123.0,Rural,50.0,Poor,False,Oil Heating,True,True,2023-02-28,Green,Sabrina,False,Excellent,Good,Excellent,Excellent,10.0,2.63,,VB96 Steel 31PEYP4 Window,10449.9768
5.0,,137.0,Urban,28.0,Poor,False,Electric,True,True,2023-06-28,Yellow,Roman,False,Good,Poor,Good,Excellent,10.0,3.58,,SXE Aluminum B46T1L5 Window,225.83406
,1.0,31.0,Urban,21.0,Good,False,Electric,False,False,2020-08-22,White,Johanna,False,Good,Good,Good,Poor,16.0,3.0,18.6,YDUMD Wood COC6P Window,114.89325
,,102.0,Suburbann,56.0,None,False,Gas,False,True,2020-04-19,White,Theresa,False,Excellent,Good,Excellent,Good,7.0,3.39,,JJTRI Steel RJXL0PJ,152.75098
3.0,,111.0,Rural,,Excellent,,Oil,False,True,2022-09-12,Green,Sandra,False,Good,Good,Good,Good,26.0,3.25,,Wood QXAKEP Window,430.69725
5.0,3.0,150.0,Rural,57.0,Good,False,Gas,True,False,2022-10-21,Yellow,Sabrina,False,Good,Poor,Good,Poor,16.0,3.54,,YVQEC Aluminum S9Y68 Window,302.23205
1.0,2.0,118.0,Urban,57.0,None,True,Gas,True,True,2022-01-17,Green,Martin,False,Excellent,Excellent,Good,Good,7.0,3.01,,Aluminum XLOUT,194.50571
2.0,1.0,74.0,Rural,56.0,None,False,Electricity,False,False,2021-03-31,White,Martin,False,Good,Good,Good,Good,7.0,3.41,43.8,Steel IHOF Window,234.71941
4.0,,141.0,Urban,63.0,,True,Electric,True,True,2020-01-19,White,Martin,False,Poor,Good,Good,Poor,7.0,3.82,84.6,Wood 0WLU Window,220.97396
1.0,3.0,104.0,Urban,47.0,Excellent,False,Oil Heating,False,True,2021-11-22,Green,Stefan,False,Good,Good,Good,Good,26.0,2.93,,Wood EWR1Y Window,302.10597
1.0,,89.0,Suburbann,41.0,None,,Electricity,True,True,2022-06-16,Yellow,,False,Excellent,Good,Poor,Good,7.0,2.95,52.8,ELTMN4 Steel ZD97X,139.6743
,1.0,26.0,Urban,70.0,None,False,Oil,True,True,2020-01-05,Gray,Lukas,False,Poor,Good,Good,Good,7.0,2.4,,Wood Y8NR2WK Window,117.32608
,2.0,69.0,Rural,17.0,None,False,Oil,True,False,2022-03-17,Green,Stefan,False,Good,Poor,Good,Good,7.0,3.44,,Aluminum 5FTPPK8,177.98709
3.0,,147.0,Suburban,,None,,Oil Heating,False,True,2021-11-08,Gray,Lukas,False,Good,Good,Good,Excellent,7.0,1.59,,Aluminum MPTMD Window,155.90916
2.0,1.0,119.0,Urban,48.0,Excellent,False,Electric,True,False,2023-11-05,Gray,Martin,False,Good,Excellent,Excellent,Good,26.0,1.32,72.0,Steel 1JGQ7UW,285.87441
,1.0,99.0,Suburbann,30.0,Good,False,Electric,False,False,2023-09-24,White,Sabrina,False,Excellent,Excellent,Excellent,Good,16.0,2.41,,Wood 1CA1N9 Window,116.57896
1.0,1.0,43.0,Suburbann,51.0,None,,Oil Heating,True,False,2023-06-07,,Denis,False,Poor,Excellent,Good,Excellent,7.0,2.89,,3BYT68 Aluminum L43LG2 Window,58.84468
2.0,,137.0,Urban,,None,False,Gas,False,True,2023-04-23,White,Johanna,False,Good,Good,Poor,Poor,7.0,3.46,,Aluminum RTR,199.97858
1.0,,105.0,Rural,19.0,None,False,Electricity,True,True,2023-07-13,Gray,,False,Good,Excellent,Excellent,Good,7.0,2.14,,66YG Steel IU2M Window,395.6783
1.0,2.0,67.0,Urban,,Good,False,Electricity,False,False,2021-12-22,White,Sandra,False,Excellent,Excellent,Excellent,Good,16.0,2.47,,FI4 Wood YRC Window,156.80685
2.0,2.0,70.0,Urban,56.0,None,False,Electric,False,True,2020-04-14,Yellow,Roman,False,Good,Good,Good,Good,7.0,1.73,,3RHC Aluminum 11VU,99.39039
2.0,,88.0,Urban,24.0,Good,,Oil,False,False,2023-01-31,White,Sandra,False,Poor,Good,Excellent,Good,16.0,2.14,,Wood HKF5E8L Window,222.21261
1.0,1.0,115.0,Urban,61.0,None,False,Gas,True,True,2022-05-02,Gray,Maria,False,Excellent,Good,Excellent,Good,7.0,1.43,115.0,Aluminum V203,185.18256
2.0,2.0,113.0,Urban,52.0,None,,Electricity,True,True,2022-02-20,Green,Martin,False,Excellent,Excellent,Good,Good,7.0,3.26,,3DCESI Steel 01XYF Window,271.8529
1.0,1.0,21.0,Rural,49.0,Poor,True,Gas,False,False,2021-07-13,Gray,Martin,False,Good,Good,Excellent,Poor,10.0,2.48,,N4SZ3 Aluminum Y3Y3D Window,75.7116
1.0,3.0,133.0,Suburbann,52.0,None,False,Electricity,False,True,2020-10-09,Yellow,Florian,False,Good,Good,Good,Excellent,7.0,3.78,,S62L Wood OOE Window,127.89032
,,,,,,,,,,,,,,,,,,,,,,
,2.0,7878.0,Urban,28.0,None,True,Gas,False,True,2020-09-30,Gray,Denis,False,Good,Excellent,Good,Good,7.0,2.77,,Aluminum ER0T8UG Window,128.03664
3.0,,113.0,Suburban,11.0,Poor,True,Oil,False,False,2022-08-29,Yellow,Theresa,False,Excellent,Poor,Good,Good,10.0,1.56,,Wood 90QSV8Y,147.36211
2.0,,118.0,Suburban,41.0,None,True,Gas,False,True,2020-12-25,,Maria,False,Excellent,Excellent,Excellent,Excellent,7.0,3.17,,Steel RX7 Window,180.86052
,2.0,62.0,Suburban,15.0,Good,,Gas,True,True,2023-04-08,Yellow,Denis,False,Good,Poor,Excellent,Good,16.0,1.37,,O9CA Steel 9PZ,160.63119
1.0,2.0,133.0,,34.0,None,True,Electric,True,True,2023-12-05,Gray,Florian,False,Good,Good,Good,Excellent,7.0,1.37,,Wood V19 Window,337.73432
5.0,1.0,148.0,Rural,40.0,Good,True,Electricity,True,True,2021-07-22,Yellow,Stefan,False,Good,Poor,Poor,Excellent,16.0,3.17,,Steel 1D3A Window,448.39935
1.0,1.0,17.0,Rural,50.0,None,False,Gas,True,True,2022-05-01,Yellow,,False,Poor,Poor,Excellent,Excellent,7.0,2.07,20.0,Wood 7HAVAUV,167.39141
5.0,1.0,133.0,Urban,28.0,None,True,Oil Heating,True,True,2020-01-04,White,Sabrina,False,Good,Poor,Excellent,Excellent,7.0,2.97,214.4,Steel 1UW1,356.77
1.0,1.0,65.0,Rural,57.0,None,False,Electricity,True,True,2021-10-20,Green,Martin,False,Excellent,Excellent,Good,Excellent,7.0,3.13,37.8,Steel 5EVUCN Window,306.27692
,5.0,147.0,Rural,51.0,Good,False,Electricity,True,True,2020-02-16,Green,Johanna,False,Good,Poor,Good,Excellent,16.0,3.05,88.2,8XY Wood LXBE7,391.26465
1.0,1.0,43.0,Rural,49.0,Excellent,False,Oil Heating,True,True,2020-02-02,Green,Sandra,False,Excellent,Poor,Excellent,Good,26.0,2.23,,Steel 4ENZO,360.40718
1.0,1.0,141.0,Suburbann,69.0,Good,True,Electricity,False,False,2021-01-04,Yellow,Maria,False,Good,Excellent,Excellent,Excellent,16.0,2.15,,0NZRJL Aluminum NH2JJ9 Window,1959.998
,2.0,119.0,Suburbann,34.0,None,False,Gas,False,False,2021-03-16,Yellow,Daniel,False,Good,Excellent,Good,Excellent,7.0,2.32,,Wood 99S,117.21186
2.0,2.0,82.0,Urban,54.0,None,,Gas,False,False,2024-01-14,Green,Lukas,False,Excellent,Good,Poor,Good,7.0,1.7,82.0,Steel 14XE9,207.14423
,3.0,142.0,Suburban,38.0,None,False,Oil Heating,False,True,2020-11-08,Green,Johanna,False,Excellent,Poor,Poor,Excellent,7.0,3.14,228.8,XAJMH Steel D6YUGYR Window,209.85051
2.0,,103.0,Urban,9.0,Good,True,Electric,False,True,2022-09-18,Yellow,Lukas,False,Good,Good,Good,Poor,16.0,3.75,61.2,Aluminum 5A2RE Window,167.19558
2.0,2.0,70.0,Suburbann,,Good,,Oil,True,True,2022-10-17,Gray,Sabrina,False,Excellent,Poor,Excellent,Good,16.0,1.29,,Wood 83Q5,141.86747
1.0,1.0,33.0,Urban,,None,False,Oil,False,True,2022-12-28,Green,Florian,False,Good,Good,Excellent,Good,7.0,1.72,54.4,TT790 Steel HBX Window,181.90145
,,63.0,Urban,,Poor,False,Gas,False,False,2023-09-10,Yellow,Andreas,False,Excellent,Excellent,Good,Good,10.0,3.98,61.0,4N0JR Steel EYNDC,188.34103
2.0,1.0,79.0,Suburbann,43.0,,False,Electric,False,False,2024-03-03,White,Sandra,False,Excellent,Poor,Excellent,Good,7.0,1.78,,XERR Aluminum I1MABGO Window,61.33788
1.0,1.0,56.0,Suburban,5.0,Good,False,Oil Heating,False,False,2021-03-30,White,Daniel,False,Good,Excellent,Excellent,Good,16.0,3.18,89.6,Aluminum OYY Window,82.23386
1.0,,30.0,Rural,,Good,False,Oil Heating,False,False,2023-02-27,Green,Florian,False,Excellent,Good,Good,Good,16.0,2.27,,Steel AYHJ,243.0519
3.0,,103.0,Rural,42.0,Good,False,Electric,True,True,2021-05-29,,Laura,False,Good,Good,Poor,Excellent,16.0,1.41,63.6,R8U3HR Steel ZSV2LMQ Window,401.6969
2.0,2.0,63.0,Urban,4.0,None,,Oil,True,True,2024-01-01,Gray,Sandra,False,Poor,Excellent,Excellent,Good,7.0,2.05,,Wood QHQ6 Window,227.87169
2.0,1.0,124.0,Urban,55.0,Poor,False,Electric,False,True,2022-04-28,Gray,Roman,False,Poor,Good,Good,Poor,10.0,1.45,,WGU3CZ6 Aluminum 4Y34R Window,149.09854
1.0,1.0,31.0,Urban,62.0,None,False,Oil Heating,False,False,2021-08-14,White,Sabrina,False,Good,Poor,Good,Excellent,7.0,2.18,49.6,Wood SJ1D Window,104.9692
,,22.0,,25.0,Excellent,False,Oil,False,True,2022-11-04,,Florian,False,Good,Good,Good,Poor,26.0,3.47,,Steel SQE5N Window,137.59805
1.0,1.0,72.0,Suburbann,67.0,None,True,Oil Heating,True,False,2020-04-24,Green,Theresa,False,Good,Excellent,Excellent,Excellent,7.0,2.28,,D9S4 Wood 2FJOT,102.11157
,2.0,100.0,Rural,25.0,None,,Electricity,False,True,2023-07-11,Yellow,Denis,False,Good,Poor,Excellent,Good,7.0,1.41,,UK1F Steel 9TM5W Window,358.76245
1.0,1.0,52.0,Suburbann,63.0,None,False,Electric,False,True,2024-01-23,Yellow,Martin,False,Poor,Poor,Poor,Excellent,7.0,2.65,,Steel 1X5I Window,105.9097
,3.0,147.0,Urban,,Poor,False,Electric,True,True,2021-08-17,Yellow,Maria,False,Excellent,Good,Excellent,Poor,10.0,3.55,88.8,Aluminum PU85H Window,208.3076
1.0,,58.0,,,,False,Oil,False,True,2021-02-23,Green,Maria,False,Good,Good,Good,Good,7.0,1.97,,Aluminum D315I,151.01401
1.0,1.0,39.0,Suburban,36.0,None,False,Electricity,False,True,2021-09-23,Gray,Lukas,False,Poor,Poor,Good,Poor,7.0,2.14,,Steel GN355CW Window,94.52686
,1.0,62.0,Urban,33.0,None,,Gas,False,True,2020-05-11,,Sandra,False,Good,Good,Good,Excellent,7.0,2.72,,MIJ Aluminum E24U1 Window,110.47901
1.0,4.0,135.0,Suburbann,30.0,,,Electric,False,False,2023-04-12,Green,Stefan,False,Good,Excellent,Good,Excellent,7.0,2.29,,RGAP6KZ Steel A72EU Window,149.40969
,2.0,97.0,Suburbann,19.0,None,,Gas,True,True,2023-03-17,White,Maria,False,Excellent,Good,Good,Excellent,7.0,2.4,97.0,Aluminum UNKR Window,2214.7376
1.0,,51.0,Suburban,14.0,None,False,Oil Heating,False,True,2022-01-13,Green,Florian,False,Excellent,Good,Excellent,Excellent,7.0,2.05,,Steel 2RLNFN Window,142.53136
1.0,,45.0,Urban,6.0,None,True,Electricity,True,True,2022-01-27,Green,Theresa,False,Poor,Poor,Good,Poor,7.0,2.15,26.4,ECWB4X Wood 9BMEX Window,131.34659
,,145.0,Urban,69.0,Good,,Oil Heating,True,True,2021-01-03,Yellow,Roman,False,Good,Poor,Good,Good,16.0,1.27,232.0,6YXAEZ1 Aluminum 7XJYLK,286.23621
,,20.0,Suburban,58.0,Good,False,Oil,True,True,2020-09-23,Gray,Theresa,False,Poor,Excellent,Good,Good,16.0,1.42,35.2,Steel 8R1,119.03638
,1.0,24.0,Urban,,None,,Gas,False,True,2020-08-25,Green,Daniel,False,Good,Excellent,Excellent,Excellent,7.0,2.02,23.0,Aluminum YLM4BI,68.73696
,1.0,114.0,Suburbann,46.0,None,,Oil Heating,False,True,2022-12-05,,Denis,False,Good,Excellent,Poor,Good,7.0,2.92,182.4,Aluminum G8CO4Z,124.77417
1.0,,128.0,Rural,64.0,None,False,Electricity,False,True,2023-06-03,Yellow,Andreas,False,Poor,Good,Poor,Good,7.0,4.92,76.2,DQF8O Wood 849LXTQ,274.36744
1.0,1.0,33.0,Urban,59.0,None,False,Electricity,False,True,2022-11-14,White,Daniel,False,Poor,Excellent,Good,Excellent,7.0,2.3,,Steel H1F Window,172.73954
4.0,2.0,133.0,,,None,,Gas,True,True,2021-08-12,Gray,Lukas,False,Poor,Good,Excellent,Good,7.0,2.6,132.0,Steel 054 Window,182.46525
,1.0,61.0,Suburbann,64.0,Poor,False,Electricity,False,True,2024-02-12,Green,Stefan,False,Excellent,Poor,Good,Excellent,10.0,2.02,36.0,J67 Aluminum ARMA Window,65.53153
,,93.0,Suburban,,None,,Electric,True,True,2024-03-15,Yellow,Maria,False,Good,Good,Good,Poor,7.0,3.35,55.2,Aluminum Q94X Window,73.51234
1.0,1.0,38.0,Rural,61.0,Excellent,False,Electric,True,True,2021-06-07,White,Laura,False,Poor,Poor,Poor,Poor,26.0,3.36,23.4,Aluminum WKV,150.53755
3.0,,116.0,Urban,50.0,,True,Electric,True,True,2023-03-03,Gray,Martin,False,Excellent,Good,Good,Excellent,7.0,1.23,69.0,Aluminum O9ZV Window,184.45098
1.0,,93.0,Suburbann,56.0,Poor,True,Oil Heating,False,True,2020-11-05,Gray,Daniel,False,Poor,Good,Good,Excellent,10.0,1.04,,SN31YKJ Steel SX3,162.77427
2.0,,87.0,Suburban,54.0,None,False,Electricity,True,True,2021-06-30,White,Stefan,False,Good,Poor,Poor,Poor,7.0,1.58,,GS3P Aluminum U6NC Window,67.97779
,,81.0,Suburban,64.0,None,True,Gas,True,True,2020-04-30,Green,Lukas,False,Excellent,Excellent,Poor,Good,7.0,2.5,,Wood 4REBLZ,111.69934
1.0,,34.0,Urban,24.0,Good,,Oil Heating,True,False,2022-04-23,White,Theresa,False,Good,Good,Excellent,Good,16.0,3.21,54.4,DJAWVPS Steel 0CCOZ2,199.91726
,2.0,116.0,Rural,,None,False,Gas,False,True,2022-07-18,Gray,Laura,False,Poor,Excellent,Good,Good,7.0,1.39,116.0,Aluminum VSAW883 Window,223.13368
1.0,,24.0,Rural,34.0,None,False,Oil,True,True,2021-01-25,White,Lukas,False,Excellent,Good,Good,Poor,7.0,2.75,38.4,Aluminum M2C5RS,116.60838
1.0,2.0,105.0,Suburban,,Good,,Gas,False,True,2021-02-12,Yellow,Johanna,False,Good,Good,Poor,Good,16.0,2.36,,H0L Aluminum L17DS,100.89259
5.0,,-876.0,Suburban,57.0,None,False,Oil,False,False,2022-12-24,Gray,Theresa,False,Good,Good,Excellent,Excellent,7.0,1.83,,Steel SZ1FGZ,192.47206
3.0,1.0,128.0,Urban,,Good,True,Electric,True,True,2024-03-21,Green,Roman,False,Good,Good,Good,Excellent,16.0,1.76,77.4,Aluminum JGJ01X,203.16583
2.0,1.0,96.0,Suburban,,None,False,Oil Heating,True,True,2023-12-26,Yellow,Sabrina,False,Good,Poor,Poor,Good,7.0,4.38,,Aluminum DNICBVV Window,106.01019
1.0,1.0,34.0,Rural,21.0,Poor,,Electricity,False,True,2022-05-16,Gray,Theresa,False,Good,Poor,Poor,Good,10.0,2.3,,FJH00S Wood 03VOD Window,173.72301
5.0,3.0,130.0,Urban,58.0,Good,,Oil Heating,False,False,2022-11-21,Green,Daniel,False,Excellent,Poor,Good,Poor,16.0,3.23,208.0,Wood S0J,275.17964
,1.0,44.0,Urban,,None,False,Oil,True,True,2023-10-03,White,Laura,False,Good,Good,Good,Poor,7.0,1.71,,Steel JTSB,203.82136
3.0,1.0,141.0,Suburban,36.0,Good,,Oil Heating,False,True,2020-09-11,Yellow,Stefan,False,Excellent,Good,Excellent,Excellent,16.0,4.43,,67N Steel 61P,232.79033
,,138.0,Rural,34.0,Poor,False,Electric,False,True,2020-12-09,Green,Sandra,False,Poor,Good,Good,Excellent,10.0,1.9,,4NQ1 Wood P3LAKF,330.14927
,3.0,138.0,Urban,34.0,None,True,Oil Heating,True,True,2022-06-05,Yellow,Andreas,False,Good,Good,Poor,Excellent,7.0,2.05,,HXB28W9 Wood HC992GO,314.6907
1.0,1.0,-429.0,Urban,18.0,None,False,Gas,True,True,2021-01-31,Green,Sandra,False,Poor,Poor,Poor,Good,7.0,2.76,103.0,Steel 4NLS Window,250.50177
,,123.0,,44.0,None,False,Gas,True,True,2022-04-21,Yellow,Roman,False,Good,Good,Good,Excellent,7.0,1.36,,Aluminum T2RQ,119.6622
5.0,3.0,142.0,Rural,34.0,Excellent,,Electric,True,False,2020-03-18,Gray,Natalie,False,Poor,Poor,Good,Good,26.0,1.47,,Wood CMYUY2 Window,333.93707
,,88.0,Rural,38.0,None,,Gas,False,True,2023-03-17,Green,Daniel,False,Excellent,Excellent,Excellent,Excellent,7.0,1.69,,Steel 8AZPHN,393.82619
,1.0,51.0,Urban,48.0,None,False,Gas,False,True,2020-02-07,Gray,Natalie,False,Good,Good,Poor,Excellent,7.0,2.91,,Aluminum 4VEOW Window,87.04685
,1.0,31.0,Rural,29.0,,False,Electricity,True,True,2020-12-09,Green,Maria,False,Excellent,Excellent,Excellent,Excellent,10.0,1.99,19.8,Steel BGJN,292.14611
2.0,2.0,92.0,Suburban,47.0,None,False,Oil,False,True,2023-03-11,White,Sandra,False,Excellent,Excellent,Poor,Excellent,7.0,1.91,,K23DW Steel G2RK,180.31703
1.0,,99.0,Suburban,,Good,,Oil Heating,False,True,2020-05-26,White,Martin,False,Poor,Excellent,Good,Poor,16.0,2.44,,Aluminum SIZJO9F,114.96272
2.0,1.0,60.0,Urban,61.0,,,Electricity,True,True,2024-02-25,Gray,Johanna,False,Good,Good,Excellent,Excellent,7.0,1.77,,Aluminum T3WKJB,119.12579
,1.0,38.0,,47.0,None,False,Electric,False,True,2023-05-14,Green,Laura,False,Poor,Good,Poor,Good,7.0,2.45,22.8,A2Z9X Wood 8Y2IC5L,113.54977
